City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
97,Trinidad,BO,-14.83,-64.9,87.8,66,0,10.29
98,Easton,US,40.69,-75.22,60.01,58,1,11.41
99,Asosa,ET,10.07,34.53,69.94,86,4,1.63
100,Sulangan,PH,11.14,123.72,81.32,78,100,2.39
101,Nemuro,JP,43.32,145.57,54.07,75,90,6.31
102,Port Lincoln,AU,-34.73,135.87,51.22,83,99,7.99
103,Prince Rupert,CA,54.32,-130.32,41.0,100,40,4.7
104,Evensk,RU,61.95,159.23,31.33,85,0,9.93
105,Warrnambool,AU,-38.38,142.48,52.0,95,100,10.0
106,Raudeberg,NO,61.99,5.14,53.01,88,98,7.65
107,Chuy,UY,-33.7,-53.46,62.69,42,0,6.26
108,Marystown,CA,47.17,-55.15,59.0,100,100,8.01
109,Verkhoyansk,RU,67.54,133.38,26.38,95,15,2.82
110,Arambagh,IN,22.88,87.78,81.39,84,45,6.26
111,Tautira,PF,-17.73,-149.15,75.2,78,20,3.36
112,Mar Del Plata,AR,-38.0,-57.56,57.2,41,0,6.93
113,Sarkand,KZ,45.41,79.92,40.69,63,100,2.33
114,Saint Anthony,US,45.02,-93.22,55.0,70,20,5.82
115,Barcelos,PT,41.54,-8.62,73.99,77,2,8.05
116,Zhigansk,RU,66.77,123.37,29.37,98,97,8.25
117,Buchanan,LR,5.88,-10.05,82.4,74,75,5.82
118,Padang,ID,-0.95,100.35,76.3,78,100,7.16
119,La Ronge,CA,55.1,-105.28,42.8,81,90,11.41
120,Cueramaro,MX,20.62,-101.72,51.8,66,40,2.26
121,Sakakah,SA,29.97,40.21,95.0,8,0,4.7
122,Aklavik,CA,68.22,-135.01,35.6,93,90,8.05
123,Marsa Matruh,EG,31.35,27.25,84.2,62,0,6.93
124,Dunmore Town,BS,25.5,-76.65,81.59,77,28,13.69
125,Port-Gentil,GA,-0.72,8.78,84.2,70,40,9.17
126,Thompson,CA,55.74,-97.86,30.2,80,90,4.7
127,Coruripe,BR,-10.13,-36.18,84.06,66,27,14.2
128,Impfondo,CG,1.64,18.07,78.84,90,100,2.28
129,Haines Junction,CA,60.75,-137.51,35.4,87,100,1.21
130,Mandalgovi,MN,45.76,106.27,38.43,75,0,8.05
131,Honavar,IN,14.28,74.45,79.23,89,0,4.59
132,Mbigou,GA,-1.9,11.91,77.43,74,97,3.42
133,Victoria,HK,22.29,114.16,78.01,67,30,10.6
134,Salalah,OM,17.02,54.09,80.6,74,20,5.82
135,Carnarvon,AU,-24.87,113.63,66.2,77,0,12.75
136,Brookings,US,44.31,-96.8,54.0,53,1,10.29
137,Gao,ML,16.64,1.64,102.61,18,0,8.14
138,Ketchikan,US,55.34,-131.65,41.0,100,90,2.62
139,Jalu,LY,29.03,21.55,96.66,17,0,14.63
140,Zlobin,HR,45.29,14.65,68.0,52,20,4.7
141,Tasiilaq,GL,65.61,-37.64,39.2,69,20,1.12
142,Xinqing,CN,48.23,129.5,37.44,80,0,1.23
143,Talcahuano,CL,-36.72,-73.12,57.2,62,57,9.17
144,North Bend,US,43.41,-124.22,57.0,100,90,3.36
145,Castro,BR,-24.79,-50.01,88.77,36,24,11.77
146,Shyryayeve,UA,47.38,30.2,68.65,56,100,6.73
147,Erzin,TR,36.96,36.2,86.0,60,0,2.17
148,Kyren,RU,51.68,102.14,32.52,93,83,1.3
149,Pangody,RU,65.85,74.49,32.56,94,100,14.92
150,Bressanone,IT,46.72,11.66,68.0,42,20,2.24
151,Laguna,US,38.42,-121.42,57.99,82,1,6.93
152,Linjiang,CN,41.81,126.91,47.66,71,39,1.95
153,Nome,US,64.5,-165.41,45.0,87,90,21.92
154,Dongsheng,CN,39.82,109.98,49.35,84,1,14.45
155,Southbridge,US,42.08,-72.03,54.0,60,0,3.0
156,Sisimiut,GL,66.94,-53.67,34.77,75,73,15.68
157,Mendeleyevskiy,RU,54.15,37.58,56.86,40,95,9.44
158,Vila Do Maio,CV,15.13,-23.22,75.2,94,90,14.99
159,Vratnica,MK,42.14,21.12,59.0,58,90,3.36
160,Kailua,US,21.4,-157.74,78.8,69,1,3.36
161,Wuwei,CN,37.93,102.64,51.48,44,0,2.57
162,Batemans Bay,AU,-35.72,150.18,55.99,73,0,5.99
163,Baruun-Urt,MN,46.68,113.28,43.16,57,0,10.69
164,Candolim,IN,15.52,73.76,82.4,94,20,11.41
165,Wad Rawah,SD,15.16,33.14,102.6,14,47,4.59
166,Shenjiamen,CN,29.96,122.3,69.06,72,90,18.68
167,San Patricio,US,28.02,-97.52,81.0,83,40,8.05
168,Riyadh,SA,24.69,46.72,95.0,14,0,5.82
169,Poya,NC,-21.35,165.15,68.72,87,27,3.42
170,Pinerolo,IT,44.88,7.35,70.0,40,63,1.01
171,Kahului,US,20.89,-156.47,73.99,73,1,7.07
172,Madang,PG,-5.22,145.8,78.37,88,100,3.58
173,Kidal,ML,18.44,1.41,104.09,8,0,4.18
174,Banda Aceh,ID,5.56,95.32,80.38,71,100,13.42
175,Lorengau,PG,-2.02,147.27,80.89,79,36,3.33
176,Venezuela,VE,8.0,-66.0,87.1,63,0,12.59
177,Touros,BR,-5.2,-35.46,86.0,58,75,13.87
178,Adigeni,GE,41.68,42.7,75.2,31,0,29.97
179,Grand Gaube,MU,-20.01,57.66,75.99,80,24,4.0
180,Yeniseysk,RU,58.45,92.17,28.31,93,89,3.15
181,Namibe,AO,-15.2,12.15,75.2,69,20,16.11
182,Bati,ET,11.18,40.02,72.07,44,94,7.85
183,Sambava,MG,-14.27,50.17,76.44,79,94,3.67
184,Guerrero Negro,MX,27.98,-114.06,73.26,74,0,13.73
185,Chochola,MX,20.75,-89.83,78.01,94,90,10.29
186,Grindavik,IS,63.84,-22.43,42.8,93,75,6.93
187,Bulawayo,ZW,-20.15,28.58,80.04,41,15,8.81
188,Caravelas,BR,-17.71,-39.25,85.87,60,1,12.3
189,Birjand,IR,32.87,59.22,75.2,19,40,13.87
190,Casablanca,MA,33.59,-7.62,84.2,65,45,9.17
191,Tavricheskoye,RU,54.59,73.64,28.4,68,40,8.95
192,Coquimbo,CL,-29.95,-71.34,57.2,76,5,9.17
193,Dikson,RU,73.51,80.55,33.26,92,100,18.61
194,Verkhnyaya Inta,RU,65.98,60.31,35.71,92,100,13.98
195,Inhambane,MZ,-23.86,35.38,78.8,47,20,9.17
196,Tyret Pervaya,RU,53.67,102.31,32.7,95,95,4.32
197,Carmen,MX,18.63,-91.83,77.0,83,75,14.63
198,Vila,PT,42.03,-8.16,73.0,67,18,8.99
199,Tiksi,RU,71.69,128.87,14.95,93,17,12.44
200,Yenagoa,NG,4.92,6.26,78.8,86,100,7.36
201,San Antonio,US,29.42,-98.49,77.0,60,1,3.36
202,Sibut,CF,5.72,19.07,71.92,89,99,5.88
203,Jumla,NP,29.27,82.18,55.09,64,48,3.06
204,Kodiak,US,57.79,-152.41,48.2,93,90,25.28
205,Callaway,US,30.15,-85.57,84.99,88,40,6.93
206,Kiama,AU,-34.68,150.87,57.99,62,0,6.78
207,Sobolevo,RU,54.43,31.9,56.88,90,100,6.51
208,Thanh Hoa,VN,19.8,105.77,75.52,85,99,10.04
209,Hobyo,SO,5.35,48.53,80.46,80,16,19.15
210,Lat Yao,TH,15.75,99.79,73.8,95,100,6.24
211,Cherskiy,RU,68.75,161.3,27.37,99,90,5.44
212,Makakilo City,US,21.35,-158.09,77.0,78,1,6.26
213,Torbay,CA,47.67,-52.73,57.99,100,90,8.05
214,Ono,JP,34.85,134.93,60.01,100,100,3.0
215,Road Town,VG,18.42,-64.62,86.0,74,40,6.58
216,Atar,MR,20.52,-13.05,103.32,16,0,17.31
217,Acworth,US,34.07,-84.68,66.2,82,1,4.7
218,Solnechnyy,RU,50.72,136.63,38.75,76,0,2.59
219,Emporia,US,38.4,-96.18,62.6,100,40,5.82
220,Cidreira,BR,-30.18,-50.21,65.39,66,81,8.01
221,Fayetteville,US,35.05,-78.88,78.01,53,1,6.93
222,Ancud,CL,-41.87,-73.82,50.0,87,75,4.7
223,Narsaq,GL,60.92,-46.05,37.4,93,75,5.17
224,Berlevag,NO,70.86,29.09,53.6,71,40,20.8
225,Ilulissat,GL,69.22,-51.1,33.8,40,5,10.29
226,Ahipara,NZ,-35.17,173.17,55.98,87,86,7.43
227,Sept-Iles,CA,50.2,-66.38,44.6,81,90,19.46
228,Vihti,FI,60.42,24.32,57.0,87,51,5.99
229,Morehead,US,37.27,-87.18,71.6,88,1,3.0
230,Soure,BR,-0.72,-48.52,85.48,63,100,13.13
231,Kamenka,RU,51.32,42.77,62.01,26,9,10.92
232,Manyana,BW,-23.4,21.72,79.95,35,16,2.98
233,Nebug,RU,44.17,39.0,69.48,48,0,5.28
234,Joensuu,FI,62.6,29.76,55.99,93,90,10.29
235,Panjab,AF,34.39,67.02,39.54,58,0,4.25
236,Boyolangu,ID,-8.12,111.89,75.72,83,92,6.87
237,Atmakur,IN,15.88,78.58,77.59,79,7,1.14
238,Cuamba,MZ,-14.8,36.54,86.25,36,100,3.15
239,Inongo,CD,-1.95,18.27,81.21,68,55,0.81
240,Uzhur,RU,55.3,89.83,27.54,93,100,5.32
241,Kondinskoye,RU,59.65,67.41,33.33,88,60,9.53
242,Nokaneng,BW,-19.67,22.27,97.92,10,0,10.98
243,Lazarev,RU,52.23,141.51,46.99,63,0,6.51
244,Biak,ID,-0.91,122.88,77.72,83,72,0.22
245,Lima,PE,-12.04,-77.03,63.0,88,90,9.17
246,Georgetown,MY,5.41,100.34,80.6,88,20,3.36
247,Karangasem,ID,-8.45,115.62,78.8,100,20,8.05
248,Sungaipenuh,ID,-2.08,101.38,64.47,96,100,1.48
249,Norman Wells,CA,65.28,-126.83,33.8,100,90,2.24
250,Tulsipur,NP,28.13,82.3,71.64,74,0,2.59
251,Aykhal,RU,66.0,111.5,24.8,92,90,4.47
252,Panjakent,TJ,39.5,67.61,57.2,24,40,11.41
253,Yulara,AU,-25.24,130.99,62.6,28,0,5.82
254,Krasnovishersk,RU,60.41,57.08,39.07,94,100,8.23
255,Acari,PE,-15.43,-74.62,75.33,41,64,8.41
256,Longyearbyen,SJ,78.22,15.64,37.4,74,75,13.87
257,Novonukutskiy,RU,53.7,102.71,33.37,93,91,3.0
258,Katsuura,JP,35.13,140.3,62.6,88,75,9.17
259,Aurillac,FR,44.92,2.45,62.6,67,74,3.36
260,Egvekinot,RU,66.32,-179.17,34.93,95,100,17.87
261,Chara,RU,56.91,118.26,34.09,85,69,1.79
262,Litovko,RU,49.24,135.17,39.56,73,0,7.56
263,Sergiyevsk,RU,53.94,51.16,49.44,65,88,8.93
264,Lyndon,US,38.26,-85.6,69.01,55,1,5.77
265,Asfi,MA,32.3,-9.24,74.12,59,77,13.15
266,Ayan,RU,56.45,138.17,46.35,64,75,7.11
267,Teya,RU,60.38,92.63,25.81,94,66,4.85
268,Contamana,PE,-7.33,-75.02,96.58,37,0,1.34
269,Brae,GB,60.4,-1.35,51.8,71,40,16.11
270,Alice Springs,AU,-23.7,133.88,59.0,67,0,5.82
271,Severnyy,RU,50.68,36.55,66.2,22,95,13.42
272,Sinnamary,GF,5.38,-52.95,87.64,60,14,9.33
273,Tamale,GH,9.4,-0.84,89.51,52,37,4.65
274,Bubaque,GW,11.28,-15.83,82.81,75,100,8.97
275,Kutum,SD,14.2,24.67,89.67,15,35,9.84
276,Luganville,VU,-15.53,167.17,75.96,83,98,7.99
277,Kalayaan,PH,14.35,121.57,80.6,88,75,2.24
278,Codrington,AU,-38.27,141.97,51.22,87,100,21.45
279,Autun,FR,46.95,4.3,68.0,59,90,9.17
280,Lerwick,GB,60.15,-1.15,51.8,71,40,16.11
281,Isangel,VU,-19.55,169.27,70.9,80,0,5.95
282,Pisco,PE,-13.7,-76.22,66.0,77,35,4.7
283,Bathsheba,BB,13.22,-59.52,87.8,74,75,14.99
284,Omsukchan,RU,62.53,155.8,22.71,93,0,2.13
285,Arinos,BR,-15.92,-46.11,113.34,10,37,2.64
286,Kargasok,RU,59.06,80.86,32.31,98,98,10.78
287,Tommot,RU,58.96,126.29,33.44,92,92,2.08
288,Dillon,US,34.42,-79.37,79.0,68,1,7.23
289,Royan,FR,45.63,-1.03,66.2,63,90,6.93
290,Scarborough,GB,54.28,-0.4,55.0,69,73,9.28
291,Gigmoto,PH,13.78,124.39,77.43,86,100,3.02
292,Severo-Kurilsk,RU,50.68,156.12,46.06,80,55,16.93
293,Viedma,AR,-40.81,-63.0,64.0,32,4,3.0
294,Aleksandrov Gay,RU,50.15,48.57,58.64,35,16,7.56
295,Klaksvik,FO,62.23,-6.59,48.2,70,11,10.29
296,Fortuna,US,40.6,-124.16,53.01,100,90,6.93
297,Rosetown,CA,51.55,-108.0,48.0,53,43,7.0
298,Horsham,GB,51.06,-0.33,63.0,77,20,16.11
299,Tura,IN,25.52,90.22,75.25,86,0,1.81
300,Arman,RU,59.7,150.17,36.97,75,48,2.75
301,Broken Hill,AU,-31.95,141.43,48.2,76,0,8.05
302,Laives,IT,46.42,11.33,68.0,42,21,2.24
303,Kruisfontein,ZA,-34.0,24.73,66.99,79,69,7.0
304,Comodoro Rivadavia,AR,-45.87,-67.5,59.0,47,40,10.29
305,Ciudad Ojeda,VE,10.2,-71.31,83.61,74,100,6.93
306,Limbang,MY,4.75,115.0,82.4,83,75,2.24
307,Matagami,CA,49.75,-77.63,33.8,80,75,9.17
308,Baiao,BR,-2.79,-49.67,96.91,37,2,4.88
309,Suntar,RU,62.14,117.63,28.99,91,78,4.72
310,Souillac,MU,-20.52,57.52,77.0,78,40,11.41
311,Muros,ES,42.78,-9.06,73.0,73,96,10.0
312,Palimbang,PH,6.21,124.19,79.29,76,100,3.29
313,Golden,US,39.76,-105.22,62.01,42,20,3.36
314,Kropotkin,RU,45.44,40.58,67.55,31,0,15.1
315,Chernyanka,RU,50.94,37.81,60.22,31,69,10.85
316,Esperance,AU,-33.87,121.9,51.8,100,0,4.7
317,Gabriel Leyva Solano,MX,25.67,-108.64,82.0,80,0,3.0
318,Sri Aman,MY,1.24,111.46,75.2,94,100,3.36
319,Algarrobo,CO,10.19,-74.58,80.01,83,100,1.99
320,Ekibastuz,KZ,51.67,75.37,35.98,78,98,9.78
321,Eyl,SO,7.98,49.82,80.87,76,0,16.55
322,Woodward,US,36.43,-99.39,68.0,64,1,9.17
323,Port Blair,IN,11.67,92.75,80.42,77,100,4.59
324,Beja,TN,36.73,9.18,77.0,64,40,10.29
325,Havelock,US,34.88,-76.9,78.01,60,1,11.41
326,Ambilobe,MG,-13.2,49.05,78.06,79,18,5.28
327,Laurel,US,39.1,-76.85,64.99,55,1,10.29
328,Cabo San Lucas,MX,22.89,-109.91,78.8,61,5,8.05
329,Chalmette,US,29.94,-89.96,82.0,83,90,3.36
330,Vanimo,PG,-2.67,141.3,79.27,82,100,1.07
331,Chake Chake,TZ,-5.25,39.77,78.8,76,97,10.6
332,Riverton,US,40.52,-111.94,64.4,22,35,13.87
333,Mercedes,AR,-34.65,-59.43,69.01,44,0,1.99
334,Walvis Bay,NA,-22.96,14.51,62.6,67,38,8.05
335,Santa Maria,BR,-29.68,-53.81,71.98,55,43,9.57
336,Raga,SS,8.46,25.68,83.66,73,79,1.5
337,Sabang,ID,5.89,95.32,81.73,76,100,22.01
338,Isla Mujeres,MX,21.23,-86.73,84.0,83,75,4.7
339,Ukiah,US,39.15,-123.21,51.8,81,1,0.54
340,Puri,IN,19.8,85.85,80.6,94,40,9.95
341,Kavaratti,IN,10.57,72.64,81.99,80,98,12.33
342,Luderitz,NA,-26.65,15.16,62.13,69,0,22.75
343,Champerico,GT,14.3,-91.92,75.2,94,75,9.17
344,Srednekolymsk,RU,67.45,153.68,22.96,95,0,2.51
345,Nizhniy Ingash,RU,56.2,96.53,28.85,93,99,2.3
346,Agadir,MA,30.42,-9.6,75.2,60,16,17.22
347,Longyan,CN,25.11,117.02,65.44,78,67,2.89
348,Yumen,CN,40.28,97.2,48.67,45,2,6.58
349,Yar-Sale,RU,66.83,70.83,32.81,90,100,9.26
350,Gulu,UG,2.77,32.3,76.44,74,31,0.27
351,Killybegs,IE,54.63,-8.45,54.0,58,40,14.99
352,Cabedelo,BR,-6.98,-34.83,87.8,58,75,10.29
353,Solok,ID,-0.79,100.66,69.91,88,100,2.15
354,Birao,CF,10.28,22.79,83.8,70,50,3.94
355,Kiruna,SE,67.86,20.23,50.0,81,96,5.82
356,Ibaiti,BR,-23.85,-50.19,87.01,65,0,3.06
357,Jardim,BR,-21.48,-56.14,106.39,18,0,8.05
358,Meulaboh,ID,4.14,96.13,76.51,81,100,3.91
359,Korla,CN,41.76,86.15,53.92,34,10,4.81
360,Eastlake,US,41.65,-81.45,60.01,51,1,5.82
361,Lithakia,GR,37.72,20.83,75.2,57,20,13.87
362,Rocha,UY,-34.48,-54.33,62.47,40,0,7.99
363,Los Llanos De Aridane,ES,28.66,-17.92,78.8,69,40,9.17
364,Sitka,US,57.05,-135.33,46.4,87,90,4.7
365,Tornio,FI,65.85,24.15,53.6,93,90,10.29
366,Sibiti,CG,-3.68,13.35,84.36,56,65,5.14
367,Alamos,MX,27.02,-108.93,80.01,74,0,1.99
368,Bonavista,CA,48.65,-53.11,53.01,78,99,3.0
369,Vardo,NO,70.37,31.11,51.8,81,40,21.92
370,Komsomolskiy,UZ,40.43,71.72,60.8,36,96,6.93
371,Bosaso,SO,11.28,49.18,84.2,74,0,17.22
372,Puro,PH,12.48,123.38,77.34,86,100,1.12
373,College,US,64.86,-147.8,37.99,64,40,9.17
374,Canguaretama,BR,-6.38,-35.13,87.13,52,67,12.93
375,Inirida,CO,3.87,-67.92,77.22,89,97,4.09
376,Ilhabela,BR,-23.78,-45.36,77.04,81,92,2.39
377,Akcaabat,TR,41.02,39.57,73.4,69,0,9.17
378,Baijiantan,CN,45.63,85.18,51.57,40,100,5.35
379,Aksehir,TR,38.36,31.42,75.85,36,100,11.68
380,Olinda,BR,-8.01,-34.86,86.0,66,40,10.29
381,Eureka,US,40.8,-124.16,51.01,95,100,1.01
382,San Policarpo,PH,12.18,125.51,77.65,89,100,3.58
383,Geraldton,AU,-28.77,114.6,55.4,87,40,3.36
384,San Agustin,MX,20.53,-103.47,63.0,87,5,2.35
385,Kasongo-Lunda,CD,-6.47,16.82,91.98,40,35,3.76
386,Henties Bay,NA,-22.12,14.28,60.01,86,19,5.01
387,Moose Factory,CA,51.26,-80.61,33.8,80,90,6.93
388,Wladyslawowo,PL,54.79,18.4,60.01,66,20,8.05
389,Riachao Das Neves,BR,-11.75,-44.91,104.41,10,3,7.74
390,Milkovo,RU,54.72,158.62,32.27,94,0,3.15
391,Prokudskoye,RU,55.01,82.46,26.6,86,35,6.71
392,Lebu,CL,-37.62,-73.65,52.99,72,58,3.36
393,Airai,TL,-8.93,125.41,62.1,100,99,2.1
394,Namatanai,PG,-3.67,152.43,80.31,81,82,7.76
395,Chumikan,RU,54.72,135.31,43.52,65,41,19.01
396,Mareeba,AU,-17.0,145.43,68.0,77,100,2.24
397,Naryan-Mar,RU,67.67,53.09,38.98,96,98,8.9
398,Saint-Ambroise,CA,48.55,-71.33,41.0,69,75,23.04
399,Tahta,EG,26.77,31.5,104.0,13,100,5.82
400,Andenes,NO,69.31,16.12,55.4,76,100,6.93
