City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
584,Bontang,ID,80.47,0.13,117.5,
593,Dingle,PH,76.24,11.0,122.67,
599,Kapit,MY,76.14,2.02,112.93,
603,Itarema,BR,87.94,-2.92,-39.92,
604,Khani,GE,75.2,41.96,42.96,
605,Ambur,IN,77.65,12.78,78.7,
607,Caxito,AO,82.4,-8.58,13.66,
608,Morondava,MG,75.42,-20.28,44.28,
609,The Valley,AI,87.8,18.22,-63.06,
610,Augusto Correa,BR,88.75,-1.02,-46.63,
611,Mahenge,TZ,80.91,-8.68,36.72,
612,Merauke,ID,76.05,-8.47,140.33,
616,San Andres,CO,86.0,12.58,-81.7,
618,Pozoblanco,ES,89.6,38.38,-4.85,
619,Tezu,IN,75.94,27.92,96.17,
621,Zhuhai,CN,77.0,22.28,113.57,
623,Fare,PF,78.17,-16.7,-151.02,
626,Sao Joao Da Barra,BR,84.2,-21.64,-41.05,
628,Nuevitas,CU,82.4,21.55,-77.26,
630,Salinopolis,BR,84.79,-0.61,-47.36,
638,Ternate,ID,81.16,0.8,127.4,
639,Atambua,ID,75.9,-9.11,124.89,
642,Nampula,MZ,84.2,-15.12,39.27,
644,Tacoronte,ES,79.0,28.48,-16.41,
648,Alexandria,EG,87.8,31.22,29.96,
652,Anloga,GH,86.0,5.79,0.9,
654,High Rock,BS,84.2,26.62,-78.28,
655,Kalmunai,LK,82.65,7.42,81.82,
658,Puerto Escondido,MX,75.2,15.85,-97.07,
660,Saint-Joseph,RE,77.0,-21.37,55.62,
662,Sagua La Grande,CU,80.6,22.81,-80.08,
664,Manggar,ID,80.56,-2.88,108.27,
665,Algiers,DZ,78.8,36.75,3.04,
671,Gambela,ET,80.64,8.25,34.58,
674,Alugan,PH,77.41,12.22,125.48,
678,Laureles,US,82.0,26.11,-97.49,
